latitude,longitude,neo_altitude,num_satellites,hdc_temperature,bmp_temperature,humidity,pressure,mpu_altitude,time
-33.368206666666666,-70.69029166666667,531.0,06,28.0,29.29,46.83,959.13,0.03,"15/02, 16:28:37"
-33.36801166666667,-70.690255,534.5,04,28.02,29.32,47.03,959.12,0.0,"15/02, 16:28:48"
-33.36788166666667,-70.69025333333333,540.9,04,28.01,29.29,47.13,959.11,-0.0,"15/02, 16:28:58"
-33.36795166666667,-70.690235,534.5,04,28.0,29.26,47.03,959.1,0.11,"15/02, 16:29:09"
-33.368075,-70.690235,528.0,04,27.98,29.24,47.13,959.13,0.0,"15/02, 16:29:19"
-33.36804166666667,-70.690235,524.1,05,28.0,29.24,47.32,959.12,-0.0,"15/02, 16:29:29"
-33.368165,-70.690235,530.0,05,27.9,29.16,47.25,959.09,0.06,"15/02, 16:29:40"
-33.36821333333334,-70.69026666666667,525.2,05,27.93,29.22,47.25,959.07,0.15,"15/02, 16:29:50"
-33.36834,-70.69029333333333,520.1,05,27.95,29.26,47.44,959.1,0.0,"15/02, 16:30:00"
-33.368345,-70.69028166666666,520.4,05,28.0,29.32,47.42,959.1,-0.0,"15/02, 16:30:11"
-33.368401666666664,-70.69026833333334,518.4,05,28.01,29.34,47.52,959.1,0.04,"15/02, 16:30:21"
-33.368458333333336,-70.69026666666667,527.5,05,27.98,29.33,47.42,959.14,0.05,"15/02, 16:30:31"
-33.368505,-70.69031833333334,522.7,04,27.93,29.28,47.15,959.1,-0.0,"15/02, 16:30:42"
-33.36864166666667,-70.69035333333333,516.1,05,27.93,29.27,47.25,959.1,0.0,"15/02, 16:30:52"
-33.36875333333333,-70.690345,520.6,05,27.96,29.24,47.42,959.08,0.06,"15/02, 16:31:03"
-33.36868666666667,-70.69026166666667,510.2,04,27.92,29.21,47.34,959.11,0.0,"15/02, 16:31:13"
-33.3686,-70.690225,513.5,04,27.93,29.19,47.34,959.07,0.0,"15/02, 16:31:23"
-33.368631666666666,-70.69025166666667,524.7,05,27.93,29.22,47.44,959.07,0.0,"15/02, 16:31:33"
-33.36857666666667,-70.69029,526.0,05,27.82,29.17,47.25,959.1,0.14,"15/02, 16:31:44"
-33.368498333333335,-70.69030666666667,534.5,06,27.85,29.13,47.34,959.07,0.0,"15/02, 16:31:55"
-33.368433333333336,-70.69032333333334,521.6,06,27.86,29.13,47.34,959.14,0.0,"15/02, 16:32:05"
-33.36838,-70.69027333333334,521.0,06,27.86,29.12,47.25,959.09,0.01,"15/02, 16:32:16"
-33.36839333333333,-70.69027166666666,521.0,06,27.73,29.05,46.95,959.15,-0.0,"15/02, 16:32:26"
-33.36845,-70.69031833333334,537.1,06,27.51,28.83,46.58,959.12,0.0,"15/02, 16:32:36"
-33.368465,-70.69034166666667,544.4,06,27.48,28.7,46.78,959.15,-0.0,"15/02, 16:32:46"
-33.36849,-70.69032166666666,537.4,06,27.44,28.66,46.89,959.14,0.03,"15/02, 16:32:57"
-33.36831,-70.69010333333334,511.2,06,27.48,28.64,47.56,959.13,-0.0,"15/02, 16:33:07"
-33.368336666666664,-70.69016666666667,518.4,06,27.54,28.71,47.66,959.1,-0.0,"15/02, 16:33:17"
-33.3683,-70.69025,540.3,06,27.58,28.77,47.56,959.1,0.0,"15/02, 16:33:27"
-33.368415,-70.690255,560.0,06,27.59,28.83,47.27,959.08,0.04,"15/02, 16:33:37"
-33.368496666666665,-70.690235,534.2,06,27.55,28.81,47.07,959.11,0.06,"15/02, 16:33:47"
-33.36851166666667,-70.69021333333333,533.3,07,27.6,28.86,47.17,959.11,-0.0,"15/02, 16:33:57"
-33.36850666666667,-70.69014,509.2,05,27.59,28.84,47.07,959.12,-0.0,"15/02, 16:34:08"
-33.36846,-70.69002833333333,495.6,06,27.65,28.87,47.17,959.11,0.1,"15/02, 16:34:18"
-33.368415,-70.69002,491.9,04,27.74,28.97,47.54,959.09,0.0,"15/02, 16:34:29"
-33.368385,-70.68998333333333,485.3,04,27.78,29.02,47.34,959.1,-0.0,"15/02, 16:34:39"
-33.368405,-70.689955,484.2,06,27.71,28.96,47.07,959.06,-0.0,"15/02, 16:34:49"
-33.36846666666667,-70.690025,492.5,05,27.75,28.97,47.05,959.1,-0.0,"15/02, 16:35:00"
-33.368458333333336,-70.69010166666666,494.0,05,27.83,29.07,47.05,959.07,0.0,"15/02, 16:35:10"
-33.36854833333334,-70.69020333333333,504.5,05,27.89,29.16,47.15,959.05,-0.0,"15/02, 16:35:20"
-33.368563333333334,-70.69018833333334,488.1,03,27.93,29.23,47.34,959.05,0.07,"15/02, 16:35:31"
,,,00,27.95,29.25,46.95,959.02,0.0,"15/02, 16:35:42"
,,,00,28.0,29.31,46.83,959.05,0.0,"15/02, 16:35:52"
,,,00,28.02,29.36,46.93,959.01,0.07,"15/02, 16:36:02"
-33.36846333333333,-70.69026833333334,534.4,06,28.01,29.35,46.83,959.04,0.1,"15/02, 16:36:12"
-33.368496666666665,-70.690265,538.0,06,28.04,29.38,46.93,959.07,0.0,"15/02, 16:36:23"
-33.368495,-70.69035666666667,552.0,06,28.08,29.42,46.73,959.08,0.0,"15/02, 16:36:34"
-33.36850666666667,-70.690325,527.4,05,28.12,29.46,46.83,959.04,0.14,"15/02, 16:36:45"
-33.36849333333333,-70.69031166666667,521.1,05,28.15,29.48,46.73,959.06,-0.0,"15/02, 16:36:56"
-33.3684,-70.69026,524.0,05,28.22,29.55,46.7,959.02,0.0,"15/02, 16:37:07"
-33.368413333333336,-70.690245,518.3,05,28.26,29.58,46.61,959.02,-0.03,"15/02, 16:37:17"
-33.36839333333333,-70.69013333333334,500.6,04,28.32,29.67,46.61,959.07,0.0,"15/02, 16:37:28"
-33.368363333333335,-70.69024,520.8,05,28.35,29.73,46.51,959.06,-0.0,"15/02, 16:37:38"
-33.36833,-70.690365,549.4,04,28.3,29.73,46.51,959.0,0.06,"15/02, 16:37:49"
-33.368255,-70.69038333333333,552.1,04,28.32,29.69,46.22,959.01,0.07,"15/02, 16:37:59"
-33.36812833333333,-70.69043833333333,548.4,04,28.37,29.72,46.01,959.01,-0.0,"15/02, 16:38:10"
